solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,pf,pf_error,p1_o,p1_o_error,p2_o,p2_o_error,p3_o,p3_o_error,epoch_g,epoch_g_error,epoch_bp,epoch_bp_error,epoch_rp,epoch_rp_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,peak_to_peak_g,peak_to_peak_g_error,peak_to_peak_bp,peak_to_peak_bp_error,peak_to_peak_rp,peak_to_peak_rp_error,metallicity,metallicity_error,r21_g,r21_g_error,r31_g,r31_g_error,phi21_g,phi21_g_error,phi31_g,phi31_g_error,num_clean_epochs_g,num_clean_epochs_bp,num_clean_epochs_rp,g_absorption,g_absorption_error,type_best_classification,type2_best_sub_classification,mode_best_classification,multi_mode_best_classification,_RAJ2000,_DEJ2000,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,Separation
1635721458409799680,Gaia DR2 4103564728516764032,4103564728516764032,1160524652,2015.5,280.4545704438738,0.028045315640130852,-14.505427207816696,0.029703974667200823,0.07975564330162374,0.038581270395928936,2.0672114,-0.9220740300974978,0.05351504338363919,-7.50954862994324,0.049285297546156674,0.1988431,-0.15218243,-0.13862306,-0.286729,-0.50814205,-0.014397362,-0.34414586,-0.37864852,0.25654957,0.17483278,149,0,146,3,-3.6751614,87.36474,0.0,0.0,31,false,67.75903,1.4426059905131552,0.008568384014690875,0.07808364,17,10,0.058002327,0,17,false,149,51031.60066432197,1100.6023727835243,46.366974,13.918768,16,17752.514435563764,1422.724066702734,12.477834,14.728238,16,51354.060818320824,2951.862043812618,17.397175,12.985483,1.3541918,0,1.7427549,0.8094702,0.93328476,,,0,,,,VARIABLE,18.91670854441451,-4.47685748385188,280.2330518842094,8.563250055581774,100001,4176.87,3883.375,4415.0,0.658,0.2475,2.1181,0.322,0.1419,1.0205,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=4103564728516764032,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=4103564728516764032,22.071995796580044,2.038921500915232E-4,,,,,,,1657.088225658422,2.883470439208428E-4,1657.7686915447725,2.883470439208428E-4,1660.6713551912032,2.883470439208428E-4,13.647923237464035,0.0021567463839935463,14.575794924530257,0.0030554154914926323,12.940319401943981,0.0019790976879597603,1.3473528230627583,0.007032696177465469,1.1647251318751728,0.018490528144852608,0.5360331496697857,0.005192541654970448,,,0.19416052725285707,0.0022560272316310675,,,4.201450975977018,0.004609956532296355,,,17,15,13,,,DCEP,,FUNDAMENTAL,,280.45457,-14.50538,607463,B,ASASSN-V J184149.10-143019.4,0,DCEP," ",13.7," ",V," "," ",14.41," ",V," ",11.044,,280.45457,-14.50538,0.16995518103766274
1635721458409799680,Gaia DR2 4103989346187406464,4103989346187406464,523280756,2015.5,276.80604408455247,0.04080189977557339,-15.11798851513998,0.043946472925983464,0.42894189521856124,0.053385417376640404,8.034814,-0.28761415352171554,0.07919987666367224,-2.8456881634239037,0.06913177982218033,0.24676208,-0.07361273,-0.21808906,-0.22222064,-0.5536966,-0.0067592124,-0.41361365,-0.28818864,0.21420379,0.13769735,149,149,146,3,5.5694594,255.7377,0.0,0.0,31,true,287.30246,1.4255936664090985,0.01093247227524207,0.05085671,18,11,0.049410928,0,22,false,171,1652945.6422467418,13324.41535411817,124.053894,10.142719,19,521777.4807174386,17658.780329371133,29.547764,11.057674,19,1634812.254852133,37465.241053497186,43.63544,9.2282505,1.3046949,0,1.8294239,0.91495514,0.91446877,26.407531956328988,6.506662416497754,4,5500.0,4.5,0.0,VARIABLE,16.75230742268604,-1.6227039129947154,276.63702063331124,8.1646240344512,100001,4104.0825,4011.2332,4208.6665,0.625,0.2874,1.4818,0.3,0.1469,0.7136,200111,46.59957,44.312378,48.78185,555.0382,461.55304,648.5234,http://geadata.esac.esa.int/data-server/datalink/links?ID=4103989346187406464,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=4103989346187406464,5.5469257166130985,4.338303418281757E-5,,,,,,,1701.1301944958873,6.135287531823619E-5,1706.6510213403885,6.135287531823619E-5,1701.3607502230411,6.135287531823619E-5,10.069065265562129,1.9439052058231108E-4,10.940114162957762,4.3891446144434274E-4,9.178810067381004,2.075436370026746E-4,0.47266030579005225,0.0018462292180014767,0.5624579587389391,0.0029193889270812327,0.3100231348407583,8.295440713696993E-4,0.49909906027299134,0.2338727533846366,0.2595561975241609,0.0020331264951967826,,,4.2889296675066575,0.009146187053697376,,,18,17,15,,,DCEP,,FUNDAMENTAL,,276.80604,-15.11797,110865,B,ASAS J182714-1507.1,0,DCEP," ",10.35," ",V," "," ",11.0," ",V," ",5.5456903,,276.80604,-15.11797,0.0681493552029854
1635721458409799680,Gaia DR2 261548119462093568,261548119462093568,159008226,2015.5,77.66762375227684,0.036770202745345426,49.68760328366527,0.03367721413274064,0.3308474698292591,0.04334644680340923,7.632632,0.17482719541285005,0.07709830148489051,-1.824865839039117,0.06404572785488342,0.039991252,0.28283942,-0.3684253,-0.10473086,-0.28219903,-0.14422084,-0.6375437,-0.071164496,0.086996175,0.2181633,187,187,187,0,2.1475759,225.35516,0.0,0.0,31,true,240.12163,1.5027025672718337,0.007731043428815073,0.017724406,21,12,0.052081987,0,25,false,214,4201304.694880954,45811.70788611009,91.7081,9.129906,24,1735529.0466656582,68527.33111436017,25.326086,9.752809,24,3762607.479021423,100319.54806718149,37.506226,8.323197,1.3086736,0,1.4296112,0.62290287,0.80670834,,,0,,,,VARIABLE,158.98456136945188,5.889978109202968,81.10796016431031,26.628295557407384,100001,4426.0,4378.25,4631.0,,,,,,,200111,76.18865,69.592674,77.859566,2006.8778,1630.7096,2383.046,http://geadata.esac.esa.int/data-server/datalink/links?ID=261548119462093568,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=261548119462093568,8.002633428406538,2.2618447303471724E-5,,,,,,,1688.829680460666,3.1987314936390874E-5,1688.534076245342,3.1987314936390874E-5,1689.886106479912,3.1987314936390874E-5,9.059924420852159,2.3214926651846029E-4,9.694419261549998,3.810653349252559E-4,8.321433453697887,2.598356599164046E-4,0.5192271881825548,8.511485748103896E-4,0.6762157605748378,0.0024778718989271428,0.42424963379348846,0.0011114515530807813,,,0.204993443046749,0.0015284463310790747,0.1287918378745663,0.0021102077537254885,5.124058105705977,0.007491297301552159,4.134878572632708,0.011783308805764977,24,24,24,,,DCEP,,FUNDAMENTAL,,77.66763,49.68761,3850,B,BK Aur,0,DCEP," ",9.12," ",V," "," ",9.9," ",V," ",8.002431,,77.66763,49.68761,0.028219699046906056
1635721458409799680,Gaia DR2 279382060625871360,279382060625871360,1216991330,2015.5,76.63187927399555,0.028462320042759243,55.35351533566376,0.023912227548354814,1.2717543916526453,0.034650335946523655,36.70251,4.3598127457594735,0.0473939151352182,-3.0915181031948133,0.042369780414148364,-0.50882876,0.2775928,-0.41941553,0.55139697,-0.15701938,0.54546076,-0.34307307,0.027227623,0.114439294,-0.31676114,348,348,347,1,2.9351704,423.88168,0.0,0.0,31,true,131.51411,1.511283564410827,0.006359535766471456,-0.014503151,39,13,0.039419714,0,44,false,355,2.600300033120971E7,200390.47947772488,129.76166,7.150807,37,1.0836154752994297E7,334557.73470889137,32.389492,7.7642,40,2.1075511687335737E7,405444.3426710055,51.98127,6.4524746,1.2272302,0,1.3117256,0.6133933,0.6983323,-8.3800465330628,3.225272656056037,18,5000.0,4.5,0.0,VARIABLE,153.99206161107526,8.715021737836105,81.05098120121401,32.328760868836426,100001,4714.45,4605.0,5181.75,,,,,,,200111,41.199432,34.103615,43.181133,755.4424,723.4539,787.43085,http://geadata.esac.esa.int/data-server/datalink/links?ID=279382060625871360,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=279382060625871360,3.2948670772898594,7.715623512278114E-6,,,,,,,1700.8698602375641,1.0911539413228444E-5,1700.8639594765045,1.0911539413228444E-5,1700.933299724857,1.0911539413228444E-5,7.188509742238259,8.203191513661322E-5,7.810123927881629,3.142306014287285E-4,6.47640572787577,2.722914206699297E-4,0.5103978707441312,4.999335705319958E-4,0.7232500858839952,0.001730918535222792,0.38177371847846686,0.0010165710532823937,0.3984306014914346,0.21973786783573174,0.27122697299802667,5.757711750416845E-4,,,4.597331755725541,0.003274416110348373,,,38,32,37,,,DCEP,,FUNDAMENTAL,,76.63188,55.35353,4644,B,CK Cam,0,DCEP," ",7.19," ",V," "," ",7.8," ",V," ",3.2949,,76.63188,55.35353,0.05281251693574508
1635721458409799680,Gaia DR2 272444829450300160,272444829450300160,722185364,2015.5,67.57792191797733,0.025831937232748712,53.94017593596732,0.02146006815775801,0.16493727647397805,0.03156419284454805,5.2254553,0.6616312755525784,0.0460396062383033,-0.5522732589557373,0.039898682097270856,-0.13959344,0.314059,-0.36721393,0.2932061,-0.15833259,0.2610797,-0.3889406,-0.053247314,0.1815456,0.07175083,308,308,301,7,7.312889,511.00375,0.0,0.0,31,true,376.41342,1.4193000600803596,0.0056524519572034625,-0.03126369,35,14,0.03360756,0,39,false,326,304278.6549882008,2783.632073381288,109.30994,11.980187,34,98411.66535945958,3964.355849294427,24.824125,12.868772,36,317566.3993014966,8187.29372477498,38.787712,11.007334,1.3670958,0,1.8614378,0.88858414,0.97285366,-19.174642880550024,4.244808127316509,8,6000.0,3.5,0.0,VARIABLE,151.7194701324386,3.786108827760789,74.70159456341923,31.68529283124145,100001,3923.6667,3810.0,4381.8374,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=272444829450300160,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=272444829450300160,,,2.6195132598671793,2.4111572580900532E-6,,,,,1699.8548188660416,3.4098912954052786E-6,1699.855334221053,3.4098912954052786E-6,1699.9075850174586,3.4098912954052786E-6,11.858022531619259,1.0006043919449655E-4,12.7401514019212,2.7587924717117424E-4,10.952329156098951,1.7032317070330224E-4,0.632828435179853,4.233759321769982E-4,0.8229101250432898,0.001272246711622379,0.512710610946165,8.413985297095144E-4,,,0.25947237111113264,6.129729028411299E-4,,,3.7100460744942367,0.002340623746986609,,,37,34,34,,,DCEP,,FIRST_OVERTONE,,67.57796,53.94019,144455,B,V0359 Cam,0,DCEP," ",11.9," ",R1," "," ",12.4," ",R1," ",6.6,,67.57796,53.94019,0.09526631301215975
1635721458409799680,Gaia DR2 5329778887909167232,5329778887909167232,156859195,2015.5,131.65005301107897,0.03173652720809137,-46.529308159910926,0.03704524280581705,-0.07139866696579673,0.03948343732698746,-1.8083194,-1.8792320970772987,0.07296442258776406,1.9482632847101518,0.0766752579517661,-0.07915721,-0.12773235,-0.2824648,0.07803262,0.3542169,0.039032415,-0.4282612,-0.020030206,-0.105055705,0.10691919,220,0,219,1,2.6726246,273.40466,0.14035886301963935,1.795168331866171,31,false,10.0831995,1.3698571366955854,0.00890897064829862,-0.033307582,26,15,0.08112963,0,30,false,254,10253.600584921136,145.5927170261533,70.426605,15.661175,28,2737.07762070247,158.75541865705793,17.240845,16.758171,26,11542.026010393602,420.3331433113954,27.459234,14.606215,1.3925941,0,2.1519566,1.0969963,1.0549603,,,0,,,,VARIABLE,265.82309884436137,-2.0648930951709454,158.1890843773843,-60.49672462852972,110001,3713.8125,3552.0,4419.92,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=5329778887909167232,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=5329778887909167232,2.5241211219841886,1.0535132827635582E-5,,,,,,,1724.326252206314,1.4898927726244256E-5,1724.3239549792063,1.4898927726244256E-5,1724.31658920888,1.4898927726244256E-5,15.658963044472179,2.7957477874168105E-4,16.742552618488798,0.004398990467651295,14.601340981552875,0.0033900243308885186,0.7420921431124778,0.0010944902271302318,0.9762120970341606,0.016535730224462745,0.6212356112966297,0.007619935792421818,-0.4052874324784228,0.21992909361578575,0.5165539107290118,0.003021323205949593,0.4311341197488278,0.0031080629666260687,4.694236494856874,0.007052039991089756,2.7404384796189962,0.008013237694319327,29,28,26,,,DCEP,,FUNDAMENTAL,,131.65012,-46.5294,427371,B,GDS_J0846363-463145,0,DCEP," ",14.502," ",Ic,(," ",0.606," ",Ic," ",2.525284,,131.65012,-46.5294,0.3699187820066447
1635721458409799680,Gaia DR2 5328248672646357120,5328248672646357120,45067162,2015.5,132.0436414266815,0.022394553317641598,-48.65915286610795,0.02256550589705448,0.11261316583412881,0.026319218389271735,4.278743,-3.244566192297234,0.045286418205373706,3.625841308835048,0.04297620534680708,-0.110420704,-0.20888402,-0.3356727,0.12236487,0.2861754,0.19144633,-0.24033271,0.28371307,-0.03552357,-0.018829541,247,247,244,3,6.702079,416.54785,0.0,0.0,31,true,367.9081,1.3636590780276325,0.00715225582811006,0.008137201,28,16,0.035070036,0,32,false,282,323668.38542299677,2054.9853681507784,157.50398,11.913115,32,88077.88363551667,2196.023442605256,40.1079,12.989221,32,359364.82659097004,5667.127739448924,63.412163,10.873081,1.3824109,0,2.1161394,1.0761061,1.0400333,68.95529465122667,4.704318211636869,7,6000.0,3.5,0.0,VARIABLE,267.65120281563344,-3.1926463020903317,161.1048898355733,-62.1243233446957,100001,3685.0,3562.5,4242.5146,0.884,0.497,1.9575,0.4858,0.243,1.0465,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=5328248672646357120,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=5328248672646357120,9.841677206002508,5.9823470960023875E-5,,,,,,,1703.0046298250904,8.460316397989877E-5,1703.1602206838982,8.460316397989877E-5,1703.437923659022,8.460316397989877E-5,11.913212061913514,8.00480972854406E-5,12.999760922088592,7.883746390395934E-4,10.907629856646704,9.812860504955308E-4,0.4029368476338355,3.8321468204651475E-4,0.43354922375448446,0.0023912866788190056,0.4350750697492156,0.005342133372103749,,,,,,,,,,,32,26,27,,,DCEP,,FUNDAMENTAL,,132.04367,-48.65917,37532,B,CP Vel,0,DCEP," ",13.1," ",pg," "," ",13.8," ",pg," ",9.84226,,132.04367,-48.65917,0.0917673873873546
1635721458409799680,Gaia DR2 5515778734493663232,5515778734493663232,863990998,2015.5,127.31510152096162,0.022986638578534273,-46.749243177050886,0.023507895252026564,0.01570443292501822,0.025793645074326504,0.6088489,-1.6740501451078444,0.04963465746282425,2.1421617410251987,0.044593171557666435,-0.02686461,-0.00382445,-0.2305608,0.058047418,0.21051037,0.08438147,-0.41881683,0.21213204,-0.07177075,0.07526058,222,0,220,2,2.9647489,281.72528,0.10326955788926892,1.5908873158919732,31,false,21.768545,1.4574525630522766,0.0067598872606759305,0.08066398,25,16,0.056006715,0,29,false,248,22029.958623473423,328.05508685671816,67.15323,14.830832,29,8350.455052320569,471.3912567291647,17.714489,15.547112,28,21380.061782550853,776.1156688423865,27.54752,13.936897,1.3495494,0,1.6102152,0.71628094,0.89393425,,,0,,,,VARIABLE,264.1977953644262,-4.569348031761861,153.15220225445645,-62.254576686265665,100001,4239.7373,3996.98,4481.215,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=5515778734493663232,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=5515778734493663232,2.7165344893475174,4.717565121531711E-6,,,,,,,1722.8330819063578,6.671644576248424E-6,1722.858539048068,6.671644576248424E-6,1722.8775321532055,6.671644576248424E-6,14.79732866910214,3.339586642973813E-4,15.478996552487093,0.0034154083309795727,13.930403076205904,0.0015175841987330053,0.7278321878963894,7.179907465862735E-4,0.8946785357175084,0.006839170003968566,0.6087246765030088,0.0028744553934133823,-0.817597658847173,0.22032008951215976,0.6424075073325294,0.004591003359691708,0.4067996729812307,0.002506029260458388,4.442112527560577,0.00411165181089156,2.3144211922075413,0.009933590916173636,27,26,28,,,DCEP,,FUNDAMENTAL,,127.31512,-46.74924,607297,B,ASASSN-V J082915.63-464457.3,0,DCEP," ",14.71," ",V," "," ",15.34," ",V," ",2.71691,,127.31512,-46.74924,0.04699514552747204
1635721458409799680,Gaia DR2 422923956470923008,422923956470923008,962266286,2015.5,3.790869381348062,0.02304986948023649,58.424280760297385,0.02025367797531967,0.398569710771692,0.03009243786317017,13.244846,-2.134605708621111,0.042615392993937386,-1.8825004523779851,0.0358851928109327,-0.27461508,0.34310842,-0.43504006,0.20131221,-0.123797745,0.13044973,-0.3514721,-0.20380749,0.30067992,-0.24582435,356,356,352,4,5.8634343,524.64044,0.0,0.0,31,true,256.7736,1.5151101236096947,0.005490517586984118,-0.02475159,41,19,0.033783674,0,44,false,375,2823773.263427588,28788.957639496635,98.08529,9.561291,42,1192465.67507202,46315.54115695554,25.746555,10.160274,41,2313727.653851271,55790.72869469046,41.471542,8.851139,1.2416695,0,1.3091345,0.5989828,0.7101517,-47.11225828772189,4.121757700211665,4,4750.0,4.5,0.0,VARIABLE,118.18553555324696,-4.112781301883473,35.352015554451796,50.16363042578471,100001,4781.115,4664.675,4820.4,,,,,,,200111,41.703396,41.02643,43.811394,818.7558,719.4218,918.0898,http://geadata.esac.esa.int/data-server/datalink/links?ID=422923956470923008,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=422923956470923008,4.071170351267611,3.3378503420497047E-6,,,,,,,1686.4424026675222,4.720433222898367E-6,1686.4510303723475,4.720433222898367E-6,1686.4835636752698,4.720433222898367E-6,9.540853884525506,1.742776216690306E-4,10.138016429662569,2.0238162642387969E-4,8.830518421612918,1.3106342554049905E-4,0.6487224298252112,5.819415391898269E-4,0.8242292003850515,0.0016924492162212496,0.5501778339976191,7.714932129542103E-4,0.108297161415986,0.22504122536869123,0.368768911827459,0.0017045078383454827,0.16473486937576845,9.45936696409645E-4,4.3339959653403,0.0035047106706007965,2.4574005420346,0.007680295195846539,39,37,35,,,DCEP,,FUNDAMENTAL,,3.79087,58.42428,6355,B,SY Cas,0,DCEP," ",9.4," ",V," "," ",10.24," ",V," ",4.071098,,3.79087,58.42428,0.002975156042914737
1635721458409799680,Gaia DR2 422226488141991296,422226488141991296,1076246589,2015.5,3.6176566291955257,0.022973890770938993,56.252930634475454,0.021650465820436036,0.3586211710624568,0.03254852444950397,11.018047,-2.013317739694941,0.04321884100737263,-1.4865857587750748,0.038676939226457874,-0.22843859,0.25047654,-0.40672174,0.11574725,-0.02671218,0.070506416,-0.31390345,-0.206765,0.18647371,-0.2479439,366,366,355,11,2.150584,409.2977,0.0,0.0,31,true,214.70337,1.5197555517854462,0.005643271808894797,-0.015523446,42,18,0.033252023,0,44,false,380,5805332.170244421,42023.33203213353,138.14545,8.778798,40,2553954.20308064,68962.15913245436,37.034138,9.333355,41,4844122.24146926,79053.22494750025,61.27672,8.0488825,1.2743589,0,1.2844725,0.55455685,0.7299156,,,0,,,,VARIABLE,117.78258313593957,-6.248773642230171,33.20784480666574,48.498757972938165,100001,4751.7466,4695.1553,4899.5,,,,,,,200111,67.56973,63.555805,69.208405,2097.0667,1799.8413,2394.292,http://geadata.esac.esa.int/data-server/datalink/links?ID=422226488141991296,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=422226488141991296,5.809011986861927,1.4321264532386693E-5,,,,,,,1684.645632886482,2.0253326532034045E-5,1684.629567216143,2.0253326532034045E-5,1684.7639653530557,2.0253326532034045E-5,8.783347289170568,8.981449854905854E-5,9.370835026403249,1.9511400521004824E-4,8.082453091264565,1.457680324080253E-4,0.4471431991690942,2.6609604028942306E-4,0.5797730340011586,9.598229088351525E-4,0.3480415157804506,6.238745528946654E-4,0.2548881710140072,0.233779338359867,0.33192334195240125,9.897378846104316E-4,,,4.818272892451198,0.0027403496731027146,,,43,38,40,,,DCEP,,FUNDAMENTAL,,3.61767,56.25294,6507,B,FM Cas,0,DCEP," ",8.82," ",V," "," ",9.47," ",V," ",5.809284,,3.61767,56.25294,0.043032579526932915
